lotid,parcelvalue
10744471,393286.29709682637
10744909,396863.8975042618
10744671,425077.4743567096
10745142,709614.9272562162
10741463,537320.255223602
10741478,543291.1390918737
10741127,400198.538894169
10741113,425034.75536500564
10745685,1013882.7585887115
10742043,569701.8279217497
10745389,694122.0257049121
10745402,605969.5751964273
10738153,462924.5305061981
10738249,362627.93268706335
10738353,334705.23700299714
10738508,460714.12169618334
10736059,260322.42626181297
10736570,191176.73089714316
10736533,206627.1696311335
10736583,192367.45130940084
10736675,206627.1696311335
10736015,379292.22772642697
11688836,1876338.1918984568
10743619,517878.6894430423
10744140,384364.6629613083
10743669,420729.43732675794
10743876,352619.85849674174
11687535,971013.5263700577
11686592,2477055.138222487
11686001,657687.4982554857
10726118,681651.7673835184
10726847,1455875.2836084482
10726940,1677835.1321605998
10726520,492143.6996668788
10725592,446468.50013240223
10736777,7001344.280860737
10736842,1496505.794006238
10726363,481322.3711880713
10718002,432743.9621717045
10718004,711696.5903313594
10727859,282976.9912521895
10726403,397933.128068497
10725248,338516.661770757
10727879,293107.93565806857
10735205,456334.48279822915
10735203,437348.92949560675
10735075,444418.1674562113
10735184,469691.26053220936
10717834,751508.7807938247
10728195,283045.07427128585
10735780,689112.1634574693
10724429,1585675.4990384325
10734717,485843.50427758566
10735756,352490.60522415594
10754974,1239909.4218983955
10718872,435625.5524374256
10718866,437854.2780545401
10728342,245966.39349565946
10724469,1000550.2199672427
10727483,322232.03478008584
10724193,1364612.532607758
10728395,256512.39600760562
10735903,525375.9807756263
10718396,467823.59464127483
10725371,445337.02781668777
10718355,333762.65347567253
10717609,436911.7008195156
10735535,641136.4309304915
10734903,459949.9558500879
10718323,471617.1662641811
10717285,250616.3268252855
10735557,450903.0831924029
10712998,487138.5239270187
10723585,284854.2896745631
10735515,477762.4497719636
10723573,362471.87357040856
10735460,447009.0790953902
10729960,326889.19076697197
10729948,326889.19076697197
10712959,395879.21491506934
10735667,1735385.2763774197
10732967,469703.5832182013
10729930,319074.7366985274
10723366,441336.74506120005
10723475,361990.37309237476
10732424,625052.5934597366
10733863,471916.30242279056
10718567,509866.8557363542
10722988,438780.70920108014
10728872,295128.44084096956
10729117,252040.9116229924
10724824,358469.07475739426
10723092,297448.21219575446
10723312,481917.17967884283
10722995,303975.99238112656
10729722,245379.58340644513
10712850,393664.1425819918
10729656,244815.11164381015
10729356,279629.3687251594
10732478,521463.4139613662
10723219,880763.2503572089
10728663,516791.06037623435
10734202,399790.04277758277
10724088,530919.557284347
10722333,233864.71029736535
10733681,360661.5054452306
10729261,542980.8461442562
10718642,399148.0811058102
10729407,279965.76604667836
10712715,369235.69642606593
10753747,1005945.9737491615
10757133,439921.106962932
10753123,449064.56170895434
10729267,323525.0081685355
10719175,269728.27123054577
10730275,342068.8474442003
10730260,409591.2467952755
10712555,430249.37602089706
