lotid,parcelvalue
10744471,399710.07958702877
10744909,404325.1264551541
10744671,431122.2835204504
10745142,699284.9038912827
10741463,563648.2402104465
10741478,568134.1215602073
10741127,415252.46514120215
10741113,444536.66966626904
10745685,867287.4071325238
10742043,652024.4572669553
10745389,681435.3171519653
10745402,651667.379026076
10738153,483658.94412720395
10738249,375745.2539141026
10738353,352998.20670833794
10738508,472645.8791737514
10736059,243139.45462396202
10736570,158670.42644381354
10736533,179595.10623295052
10736583,163268.679644945
10736675,179595.10623295052
10736015,396632.26633442804
11688836,1263689.4179183084
10743619,536253.5815308435
10744140,415120.81267774367
10743669,454481.6072928345
10743876,355814.4147505036
11687535,898081.4521758104
11686592,1710497.587824367
11686001,670460.5220006844
10726118,668300.7210090153
10726847,1190605.4625280872
10726940,1073512.4125797795
10726520,486901.00645614456
10725592,436074.6302968557
10736777,2203914.0265771886
10736842,925969.098851843
10726363,476102.86638891
10718002,446433.2136927429
10718004,664416.2071562351
10727859,288969.27193916636
10726403,424545.30006736645
10725248,312763.2682872039
10727879,274226.9512876742
10735205,462351.6255707374
10735203,459687.9922037948
10735075,450246.315291048
10735184,464726.3598143505
10717834,688549.0706680367
10728195,294593.7702190289
10735780,604864.4772967716
10724429,1069853.134857543
10734717,489248.36579779396
10735756,336902.60325681005
10754974,988462.7772810201
10718872,439706.58386630984
10718866,442109.4768022482
10728342,232316.42975549135
10724469,757344.4220509417
10727483,325527.1530695731
10724193,954755.1773394867
10728395,234752.96426708283
10735903,499463.70719334023
10718396,463915.351882785
10725371,418067.5132799647
10718355,336219.198905222
10717609,433466.9797502142
10735535,599136.118018483
10734903,461674.9996640143
10718323,496896.00076135626
10717285,226695.25493935798
10735557,482482.1116016688
10712998,471160.9863327817
10723585,270639.34540621855
10735515,480068.52855050477
10723573,362361.5620862159
10735460,470049.9069396798
10729960,310929.7369294019
10729948,310929.7369294019
10712959,392725.73008109647
10735667,995600.4738102278
10732967,434246.9198801737
10729930,319308.54706911347
10723366,418360.3289690235
10723475,360740.78395771864
10732424,548174.1510622739
10733863,498063.9259840791
10718567,513118.31255778304
10722988,391392.7976890024
10728872,294085.7913019195
10729117,249637.49795038276
10724824,339370.59864218195
10723092,315263.3893110098
10723312,453599.3226864776
10722995,331126.3191028553
10729722,244731.11298262424
10712850,393114.7229450034
10729656,230339.1417880869
10729356,269421.70300059754
10732478,511311.96847006277
10723219,737500.4456282911
10728663,489850.088796225
10734202,370386.99036458705
10724088,559634.0717435263
10722333,223027.75438969795
10733681,371188.9488818879
10729261,497728.6181763592
10718642,383579.8083555253
10729407,263464.8741201195
10712715,344140.7916103914
10753747,834265.8917831719
10757133,453039.54169246706
10753123,514628.38767196855
10729267,316044.6823869493
10719175,246328.53899826822
10730275,291485.4512839492
10730260,376962.4369237337
10712555,409959.0760361338
10733535,317835.6503619776
10722924,352908.7393257466
10732775,402861.1769083445
10757161,382367.1080647618
10753534,621880.8284327541
10753496,472035.33107011387
10756764,413904.3486637631
10757053,376349.5674811192
10716523,365044.69998733
10722894,276797.12006569334
10757250,508347.1217231173
10758844,421552.9150598833
10716693,287199.13390959444
10731178,459899.32878378953
10733627,373608.7297685196
10731152,451679.30004902324
10730970,397932.682975876
10756778,276298.1714896692
10757445,476613.62117427104
10756957,285224.6973855447
10733380,545349.5872695142
10716421,233235.97191552742
10721673,302287.3362865896
10733401,750159.5749623361
10759679,629596.361449856
10733361,530704.9244228982
10731282,367566.2408083284
10719534,262612.26043435454
10758889,400582.11264987633
10730395,359861.56902018253
10757119,411550.092866653
10716327,337937.41923088284
10716212,384626.6513045289
10757117,449754.7261206546
10716316,321294.0297196773
10757494,527669.3213521242
10760024,453728.1663887864
10758266,478997.6102624528
10757758,451668.64246272424
10711792,288851.7428739965
11078404,519457.7970216008
10730772,344002.2803529489
10721874,374186.50084356806
10719831,261853.43729453877
10715538,251289.1585843454
10759278,460984.726584165
10721556,372064.6097684316
10715984,375060.83770763816
10722290,596051.1845773854
10721533,372350.18888663786
10715997,247300.13269132975
10759918,395074.602968795
10759010,550557.8729930366
10759917,503834.5709362609
10757699,458695.8499806553
10715629,252971.23176222958
10712139,438345.13522733736
10758975,573230.6291587972
10730860,241849.77381830954
10759254,560005.4249813267
10792145,235846.74945014366
10758408,383670.2797062171
10759189,611475.4970696479
10715083,410065.1253281359
10722184,165831.38006022188
10722124,170637.15698601832
10759213,601834.1157359796
10720818,302504.1675727694
10791974,332434.8252054312
10809352,1253637.642266752
10721226,172924.0432317597
