lotid,parcelvalue
11614222,452105.9122151262
11555888,498586.4619235677
13052987,336148.7352759217
12448473,215741.2500270903
12559155,306146.2779778976
10725371,117980.03408889423
10803706,335024.28440811747
12014726,1627327.056725067
11096205,339657.7039877767
11619184,731178.0056136857
12095203,174623.04459701473
10814735,1529228.0246816082
10846119,594132.9661807009
10792339,207576.3350331295
11342880,348381.4068804437
11164820,289964.3757003961
11179859,710703.5117828755
10869776,1349998.77282666
11662161,1013013.2995084814
10964688,223432.3383441709
11989457,309763.762603541
10813862,704621.4089435602
10852312,216159.13891689602
10807894,535528.2648574122
10910934,252275.9354070353
11667598,2032954.1602893136
10721874,380656.66344223986
10796569,403404.20471584203
11168377,418096.03964414727
11093237,792986.4750520827
10805003,270522.66299059713
10716693,321473.7033486436
10718567,614609.8603985924
11089415,526034.0544577292
11012619,230225.4867480796
12071829,935637.8531650708
10724824,521492.9721275844
12122623,643117.4606127901
10963116,412846.34490830125
11077670,421255.5660201476
12103331,397004.8583014682
10788715,354037.3439779033
11516907,490375.3434082153
10804010,85338.46834613002
11095106,145741.52801378915
10855852,1306044.9110119971
12015927,296940.6035138465
10843039,232583.38012279844
11525034,897080.5864528324
10728342,470660.28755805385
11609689,842540.6598717808
11088869,76643.50646796732
10765811,312024.40441054315
11687535,1056294.7118298938
11691487,921351.784894871
10897043,352645.2625672973
10836781,321027.23780834523
11078803,187659.2125117266
12103791,210228.68501968333
11040560,135253.45302501443
10969602,140695.34371370342
11989081,3449898.989447758
11166769,232187.0245149982
10763210,487732.79415137146
10806659,131790.56615819575
10812133,771087.3548646299
10833846,280021.9832168279
12624177,544964.1133400882
10735903,366774.2443341457
10850432,56503.6537671274
12171628,645210.1524811541
12076783,697874.1560801242
11781377,1262071.027732117
12457226,90445.48665941085
10816474,973631.824158823
12052604,729578.3379354642
10735075,493717.1912326409
11965726,761305.0689565369
11147659,280890.7919420979
11595745,1482019.7111211037
11816452,188581.69914400333
11104358,187627.34975032555
11171749,1040761.6227428621
